location,price,features,listing_url,name,lat,long,source,rating
"Adelaide, Adelaide",958.528951486698,"['5 guests', '2 bedrooms', '2 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/48664179?previous_page_section_name=1000&federated_search_id=be538910-7508-44cb-a5d8-f86897dc0c0d,Stylish Home@CBD⛩Chinatown✔Parking✔Gym✔City View,-34.9284989,138.6007456,aribnb,4.86 (28 reviews)
"Adelaide, Adelaide",523.6306729264476,"['2 guests', 'Studio', '1 bed', '1 bath', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/47036751?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Frome St Studio Apt - Balcony + Kitchenette + WiFi,-34.9284989,138.6007456,aribnb,4.63 (8 reviews)
"Adelaide, Adelaide",788.7323943661972,"['4 guests', '2 bedrooms', '3 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/40905113?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Indulgent living in CBD New Apt. WestFranklin,-34.9284989,138.6007456,aribnb,4.85 (47 reviews)
"Adelaide, Adelaide",691.2363067292645,"['6 guests', '2 bedrooms', '2 beds', '1.5 baths', 'Free parking', 'Kitchen', 'Air conditioning']",https://www.airbnb.com/rooms/25784938?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Jane's Place,-34.9284989,138.6007456,aribnb,4.63 (122 reviews)
"Adelaide, Adelaide",972.7699530516433,"['4 guests', '2 bedrooms', '2 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/48613697?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Your Delight✔Sky line✔Luxury✔Chinatown✔Gym✔Parking,-34.9284989,138.6007456,aribnb,4.69 (32 reviews)
"Adelaide, Adelaide",708.7636932707356,"['3 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/40354416?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Star of Central Franklin✈Gym✔Swimming Pool✔NBN,-34.9284989,138.6007456,aribnb,4.75 (51 reviews)
"Adelaide, Adelaide",501.7214397496088,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/35015538?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Brand New luxury South Terrace No.05,-34.9284989,138.6007456,aribnb,4.80 (70 reviews)
"Adelaide, Adelaide",787.6369327073553,"['2 guests', 'Studio', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/35769516?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Pearl of Central✬Sauna✔Gym✔Pool✔Netflix✔Cinema✔NBN,-34.9284989,138.6007456,aribnb,4.84 (152 reviews)
"Adelaide, Adelaide",548.8262910798122,"['2 guests', 'Studio', '1 bed', '1 bath', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/47036522?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Frome St Studio Apt - Balcony + Kitchenette + WiFi,-34.9284989,138.6007456,aribnb,4.17 (6 reviews)
"Adelaide, Adelaide",498.435054773083,"['3 guests', '1 bedroom', '2 beds', '1 bath', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/48173958?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,Adelaide Petite Suite overlooking parklands,-34.9284989,138.6007456,aribnb,4.88 (8 reviews)
"Mile End, Adelaide",394.3661971830986,"['2 guests', 'Studio', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/34844463?previous_page_section_name=1000&federated_search_id=9210ec1f-c5a7-4e0e-8c38-d0e564b8d7b2,The Mile End Den. Just a stroll to the city ...,-34.9237808,138.5698304,aribnb,4.90 (107 reviews)
